time,ticker,averagePrice,shares,value
1618266061161,TAN,71.648,10,847.1
1618266061161,AAPL,116.75,6,787.56
1618266061161,SNDL,.395,300,278.7
1618266061161,FRX,10.39,100,1001
1618266061162,MSFT,220.34,4,1023.68
1618266061162,TSLA,431.0525,4,2808.2
1618266061162,MMDA1,,942.16,942.16
1618266061162,EBS,93.79,4,303.52
1618266061162,AMD,66.902,18,1422.72
1618266061162,SPY,348.185,4,1646.6
1618266061162,VBK,233.753,3,840.27
1618266061162,GME,380,1,140.89
1618266061162,VISL,3.263,465,1218.3
1618266061162,TSM,109.15,4,483.6
1618266061162,NIO,42.059,16,592.48
1618266061162,BA,471.8,2,499.7
1618266061162,CCIV,35.766,16,352.8
1618266061162,AMC,13.11,10,86.1
1618266061162,TLRY,21.81,20,343.8
1618266061162,JETS,17.265,10,267.8
1618266061162,VNQ,80.836,5,471.05
1618266061162,PLTR,26.875,20,468.4
1618266061162,MARA,37.9,10,501.5
1618266061162,SOL,20.951,18,180.9
1618266061162,JMIA,37.52,8,283.84
1618266064006,TAN,71.648,10,847.1
1618266064006,AAPL,116.75,6,787.56
1618266064006,SNDL,.395,300,278.7
1618266064006,FRX,10.39,100,1001
1618266064006,MSFT,220.34,4,1023.68
1618266064006,TSLA,431.0525,4,2808.2
1618266064006,MMDA1,,942.16,942.16
1618266064006,EBS,93.79,4,303.52
1618266064006,AMD,66.902,18,1422.72
1618266064006,SPY,348.185,4,1646.6
1618266064006,VBK,233.753,3,840.27
1618266064006,GME,380,1,140.89
1618266064006,VISL,3.263,465,1218.3
1618266064006,TSM,109.15,4,483.6
1618266064006,NIO,42.059,16,592.48
1618266064006,BA,471.8,2,499.6
1618266064006,CCIV,35.766,16,352.8
1618266064006,AMC,13.11,10,86.1
1618266064006,TLRY,21.81,20,343.8
1618266064007,JETS,17.265,10,267.8
1618266064007,VNQ,80.836,5,471.05
1618266064007,PLTR,26.875,20,468.4
1618266064007,MARA,37.9,10,501.5
1618266064007,SOL,20.951,18,180.9
1618266064007,JMIA,37.52,8,283.84
1618266065792,TAN,71.648,10,847.1
1618266065793,AAPL,116.75,6,787.56
1618266065793,SNDL,.395,300,278.7
1618266065793,FRX,10.39,100,1001
1618266065793,MSFT,220.34,4,1023.68
1618266065793,TSLA,431.0525,4,2808.2
1618266065794,MMDA1,,942.16,942.16
1618266065794,EBS,93.79,4,303.52
1618266065794,AMD,66.902,18,1422.72
1618266065794,SPY,348.185,4,1646.6
1618266065794,VBK,233.753,3,840.27
1618266065794,GME,380,1,140.89
1618266065794,VISL,3.263,465,1218.3
1618266065794,TSM,109.15,4,483.6
1618266065794,NIO,42.059,16,592.48
1618266065794,BA,471.8,2,499.7
1618266065794,CCIV,35.766,16,352.8
1618266065794,AMC,13.11,10,86.1
1618266065794,TLRY,21.81,20,343.8
1618266065794,JETS,17.265,10,267.8
1618266065794,VNQ,80.836,5,471.05
1618266065794,PLTR,26.875,20,468.4
1618266065794,MARA,37.9,10,501.5
1618266065794,SOL,20.951,18,180.9
1618266065794,JMIA,37.52,8,283.84
1618266067316,TAN,71.648,10,847.1
1618266067317,AAPL,116.75,6,787.56
1618266067317,SNDL,.395,300,278.7
1618266067317,FRX,10.39,100,1001
1618266067317,MSFT,220.34,4,1023.68
1618266067317,TSLA,431.0525,4,2808.2
1618266067317,MMDA1,,942.16,942.16
1618266067317,EBS,93.79,4,303.52
1618266067317,AMD,66.902,18,1422.72
1618266067317,SPY,348.185,4,1646.6
1618266067317,VBK,233.753,3,840.27
1618266067317,GME,380,1,140.89
1618266067317,VISL,3.263,465,1218.3
1618266067317,TSM,109.15,4,483.6
1618266067317,NIO,42.059,16,592.48
1618266067317,BA,471.8,2,499.7
1618266067317,CCIV,35.766,16,352.8
1618266067317,AMC,13.11,10,86.1
1618266067317,TLRY,21.81,20,343.8
1618266067317,JETS,17.265,10,267.8
1618266067317,VNQ,80.836,5,471.05
1618266067317,PLTR,26.875,20,468.4
1618266067317,MARA,37.9,10,501.5
1618266067317,SOL,20.951,18,180.9
1618266067317,JMIA,37.52,8,283.84
1618266069778,TAN,71.648,10,847.1
1618266069779,AAPL,116.75,6,787.56
1618266069779,SNDL,.395,300,278.7
1618266069779,FRX,10.39,100,1001
1618266069779,MSFT,220.34,4,1023.68
1618266069779,TSLA,431.0525,4,2808.2
1618266069779,MMDA1,,942.16,942.16
1618266069779,EBS,93.79,4,303.52
1618266069779,AMD,66.902,18,1422.72
1618266069780,SPY,348.185,4,1646.6
1618266069780,VBK,233.753,3,840.27
1618266069780,GME,380,1,140.89
1618266069780,VISL,3.263,465,1218.3
1618266069780,TSM,109.15,4,483.6
1618266069780,NIO,42.059,16,592.48
1618266069780,BA,471.8,2,499.7
1618266069780,CCIV,35.766,16,352.8
1618266069780,AMC,13.11,10,86.1
1618266069780,TLRY,21.81,20,343.8
1618266069780,JETS,17.265,10,267.8
1618266069780,VNQ,80.836,5,471.05
1618266069780,PLTR,26.875,20,468.4
1618266069780,MARA,37.9,10,501.5
1618266069780,SOL,20.951,18,180.9
1618266069780,JMIA,37.52,8,283.84
1618266302920,TAN,71.648,10,847.1
1618266302921,AAPL,116.75,6,787.68
1618266302921,SNDL,.395,300,278.67
1618266302921,FRX,10.39,100,1001
1618266302921,MSFT,220.34,4,1023.8
1618266302921,TSLA,431.0525,4,2808.2
1618266302921,MMDA1,,942.16,942.16
1618266302921,EBS,93.79,4,303.52
1618266302921,AMD,66.902,18,1421.46
1618266302921,SPY,348.185,4,1646.56
1618266302921,VBK,233.753,3,840.27
1618266302921,GME,380,1,140.89
1618266302921,VISL,3.263,465,1218.3
1618266302921,TSM,109.15,4,483.6
1618266302921,NIO,42.059,16,592.64
1618266302921,BA,471.8,2,500.5
1618266302921,CCIV,35.766,16,352.48
1618266302921,AMC,13.11,10,86.2
1618266302921,TLRY,21.81,20,343.8
1618266302922,JETS,17.265,10,267.8
1618266302922,VNQ,80.836,5,471.05
1618266302922,PLTR,26.875,20,468.2
1618266302922,MARA,37.9,10,501
1618266302922,SOL,20.951,18,180.9
1618266302922,JMIA,37.52,8,283.84
1618266603374,TAN,71.648,10,847.1
1618266603374,AAPL,116.75,6,787.62
1618266603374,SNDL,.395,300,278.97
1618266603374,FRX,10.39,100,1001
1618266603374,MSFT,220.34,4,1023.84
1618266603374,TSLA,431.0525,4,2808.04
1618266603374,MMDA1,,942.16,942.16
1618266603374,EBS,93.79,4,303.52
1618266603374,AMD,66.902,18,1421.1
1618266603374,SPY,348.185,4,1646.52
1618266603374,VBK,233.753,3,840.27
