time,value
1618266061117,17948.59
1618266064001,17948.809999999998
1618266065816,17948.91
1618266067311,17948.91
1618266069781,17948.91
1618266302893,17947.86
1618266603363,17947.92
1618266902830,17947.95
1618267203345,17938.34
1618267502776,17947.760000000002
1618267803338,17929.94
1618268102809,17948.77
1618268403318,17952.17
1618268702765,17940.11
1618269003210,17941.489999999998
1618269302677,17946.72
1618269603506,17944.77
1618269902980,17945.15
1618270203444,17944.13
1618270502914,17946.89
1618270803433,17949.940000000002
1618271102910,17937.739999999998
1618271403380,17944.98
1618271702905,17944.08
1618272003377,17947.42
1618272302853,17948.379999999997
1618272603340,17947.46
1618272902835,17948.059999999998
1618273203348,17948.02
1618273502841,17947.86
1618273803338,17947.66
1618274102822,17947.699999999997
1618274403300,17947.42
1618274702732,17947.42
1618275003343,17947.42
1618275302798,17947.42
1618300802600,17987.620000000003
1618301103112,17975.47
1618301402570,18021.65
1618301703102,17992.260000000002
1618302002634,17997.89
1618302303151,17991.84
1618302602628,18001.02
1618302903094,18000.95
1618303202573,18006.99
1618303503060,18005.48
1618303802577,18025.04
1618304103053,18025.02
1618304402518,18023.9
1618304703003,18013.96
1618305002496,18017.48
1618305302976,18037.36
1618305603475,18035.23
1618305902953,18026.75
1618306203423,18013.739999999998
1618306502903,18005.44
1618306803411,18012.23
1618307102944,18012.25
1618307403420,18022.09
1618307702925,18026.989999999998
1618308003425,18022.13
1618308302896,18020.57
1618308603367,18017.28
1618308902839,18011.74
1618309203309,18010.82
1618309502816,18011.84
1618309803361,18002
1618310102836,18002.02
1618310403327,18003.38
1618310702813,18014.36
1618311003316,18006.03
1618311302808,18002.12
1618311603327,17991.6
1618311902795,17938.97
1618312203292,17896.57
1618312502794,17892.73
1618312803269,17893.07
1618313102708,17893.39
1618313403234,17886.18
1618313702762,17888.760000000002
1618314003195,17897.73
1618314302632,17885.23
1618314603154,17885.760000000002
1618314902642,17872.15
1618315203102,17876.31
1618315502559,17859.87
1618315803004,17868.739999999998
1618316102473,17878.09
1618316402940,17879.37
1618316703366,17885.78
1618317002871,17879.33
1618317303385,17943.41
1618317602830,17958.25
1618317904002,17980.760000000002
1618318202502,17968.059999999998
1618318502920,17969.08
1618318802536,18022.67
1618319102733,18003.85
1618319403366,18007.35
1618319702914,17997.559999999998
1618320003486,18000.66
1618320303049,17998.93
1618320602661,18001.67
1618320904300,18040.71
1618321202871,18071.67
1618321503426,18011.67
1618321802980,18027.54
1618322103643,18070.57
1618322403237,18033.55
1618322702779,17990.41
1618323003471,17993.46
1618323303138,17998.28
1618323602740,17993.38
1618323903270,18020.31
1618324202797,18080.57
1618324503374,18087.69
1618324803066,18055.32
1618325102606,18124.16
1618325403182,18126.5
1618325702749,18130.58
1618326003386,18150.5
1618326302885,18160.17
1618326603399,18147.46
1618326903006,18125.77
1618327203495,18097.73
1618327503004,18062.47
1618327802592,18069.94
1618328103182,18100.95
1618328402774,18067.670000000002
1618328703334,18078.19
1618329002953,18056.03
1618329303554,18069.21
1618329603086,18087.42
1618329902660,18086.58
1618330203260,18086.16
1618330502816,18091.98
1618330803451,18103.2
1618331103023,18094.18
1618331402603,18096.199999999997
1618331703219,18091.94
1618332002770,18088.58
1618332303299,18068.82
1618332602918,18060.19
1618332903482,18075.64
1618333203045,18061.52
1618333502585,18093.739999999998
1618333803110,18109.39
1618334102741,18110.17
1618334403335,18109.010000000002
1618334702853,18120
1618335003563,18131.71
1618335303193,18143.89
1618335602835,18153.6
1618335903715,18158.81
1618336203252,18162.17
1618336502841,18156.46
1618336803461,18175.07
1618337103433,18166.11
1618337403320,18179.53
1618337702892,18210.17
1618338003565,18192.32
1618338303140,18208.25
1618338602709,18221.92
1618338903273,18244.96
1618339202893,18228.07
1618339503482,18233.59
1618339803101,18251.010000000002
1618340102700,18255.91
1618340403338,18274.17
1618340702926,18289.4
1618341003529,18318.25
1618341303182,18319.46
1618341602841,18336.03
1618341904001,18334.48
1618342202688,18341.72
1618342503240,18315.45
1618342802900,18301.79
1618343103494,18316.64
1618343403191,18320.72
1618343702864,18319.54
1618344003824,18326.93
1618344303368,18327.53
1618344602935,18323.489999999998
1618344903422,18325.07
1618345202966,18326.75
1618345503511,18323.760000000002
1618345803013,18323.9
1618346102653,18320.36
1618346403231,18320.379999999997
1618346702712,18318.010000000002
1618347003128,18308.18
1618347302647,18305.41
1618347603198,18301.21
1618347902709,18296.61
1618348203215,18300.96
1618348502780,18298.96
1618348803259,18297.81
1618349102699,18304.65
1618349403238,18301.47
1618349702703,18298.09
1618350003180,18301.16
1618350302612,18301.03
1618350603085,18299.62
1618350902578,18301.28
1618351203043,18300.08
1618351502537,18300.73
1618351802956,18298.83
1618352103415,18297.38
1618352402928,18301.33
1618352703443,18300.21
1618353002915,18301.98
1618353303424,18303.24
1618353602968,18304.440000000002
1618353903467,18301.38
1618354202935,18303.97
1618354503377,18301.18
1618354802909,18305.78
1618355103439,18309.59
1618355402921,18309.82
1618355703445,18308.12
1618356002962,18308.82
1618356303389,18307.47
1618356602845,18306.43
1618356903330,18308.15
1618357203771,18314.59
1618357503251,18315.65
1618357802738,18315.21
1618358103234,18321.85
1618358402682,18317.68
1618358703212,18317
1618359002673,18317.48
1618359303180,18317.48
1618359602657,18317.16
1618359903226,18317.08
1618360202699,18317.16
1618360503179,18317.24
1618360802690,18317.36
1618361103139,18317.6
1618361402621,18317.6
1618361703115,18317.6
1618387203183,18362.45
1618387502668,18409.46
1618387803175,18436.120000000003
1618388102654,18428.28
1618388403177,18428.46
1618388702610,18434.92
1618389003110,18435.61
1618389302587,18447.64
1618389603158,18447.62
1618389902597,18441.11
1618390203052,18437.02
1618390502503,18433.37
1618390802975,18442.14
1618391103445,18443.309999999998
1618391402866,18448.739999999998
1618391703434,18448.24
1618392002891,18448.489999999998
1618392303393,18439.35
1618392602841,18435.87
1618392903367,18425.85
1618393202840,18437.2
1618393503277,18444.28
1618393802820,18442.62
1618394103247,18454.22
1618394402736,18445.18
1618394703200,18443.129999999997
1618395002733,18440.22
1618395303210,18442.86
1618395602752,18441.46
1618395903194,18436.29
1618396202651,18433.22
1618396503137,18431.3
1618396802682,18433.239999999998
1618397103244,18435.52
1618397402680,18432.55
1618397703141,18424.75
1618398002674,18424.64
1618398303128,18446.239999999998
1618398602614,18446.88
1618398903090,18442.67
1618399202595,18446.83
1618399503034,18451.370000000003
1618399802513,18457.94
1618400103046,18463.21
1618400402578,18480.73
1618400703062,18486.89
1618401002590,18495.45
1618401303045,18496.4
1618401602558,18495.02
1618401903053,18480.739999999998
1618402202503,18488.9
1618402503038,18488.57
1618402802579,18487.46
1618403103053,18487.77
1618403402487,18491.01
1618403702934,18487.23
1618404003409,18479.21
1618404302890,18482.9
1618404603375,18465.440000000002
1618404903104,18452.57
1618405202990,18412.96
1618405502495,18419.2
1618405803174,18428.82
1618406102811,18414.94
1618406403436,18387.55
1618406703298,18388.64
1618407002935,18357.86
1618407302927,18355.36
1618407603532,18398.93
1618407903143,18387.94
1618408202787,18362.88
1618408505280,18346.87
1618408803656,18381.129999999997
1618409103509,18352.73
1618409403132,18364.37
1618409702694,18348.11
1618410003364,18303.120000000003
1618410302964,18275.32
1618410602627,18219.58
1618410903149,18257.699999999997
1618411202843,18229.43
1618411503505,18275.18
1618411803061,18337.16
1618412102595,18323.489999999998
1618412403152,18304.99
1618412702915,18269.57
1618413003530,18280.93
1618413303141,18248.04
